127.0.0.1 - - [26/Dec/2014:18:49:39 +0800] "GET / HTTP/1.1" 404 951
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:40 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:41 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:42 +0800] "POST /OfferMeJeeServer/searchOffer HTTP/1.1" 200 26366
192.168.1.104 - - [26/Dec/2014:18:49:42 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:42 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:42 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:43 +0800] "POST /OfferMeJeeServer/searchOffer HTTP/1.1" 200 26366
192.168.1.104 - - [26/Dec/2014:18:49:45 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:48 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:51 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:54 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:49:57 +0800] "POST /OfferMeJeeServer/personalsetting HTTP/1.1" 200 4
192.168.1.104 - - [26/Dec/2014:18:49:57 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
